ticker,date,raw_score,z_score,signal,quintile,event_category,event_confidence,sentiment_intensity,volume_ratio
AAPL,2024-08-23,0.17376343032785918,0.0,0.0,3,G,0.3,-0.005798239143765601,1.1666666666666667
ADP,2025-05-08,0.410657490139841,0.99999155747883,0.7615906102906972,3,G,0.3,-0.5312451495850121,1.5
ADP,2024-09-09,0.15020599913279623,-0.8048749190202966,-0.6667533036596689,3,G,0.3,0.0,1.0
AEP,2024-06-20,0.18020599913279622,-0.4591216632948844,-0.4293680724269965,3,G,0.4,0.0,1.0
AMD,2025-05-19,0.4347209322691534,1.3145433832566629,0.865420511695271,5,G,1.0,0.11485876141232151,1.0
AMD,2025-03-12,0.32372527198694917,0.38595064338009527,0.367864073322215,3,G,0.4,0.03358809304148983,2.3333333333333335
AMD,2025-10-06,0.36905757162063296,0.6894695767064901,0.5976411391947769,4,G,0.3,0.060284478345171116,8.75
AMD,2025-03-31,0.3327591062004145,0.33924673189118426,0.326804742458182,3,G,0.5,-0.024966705682617923,2.7857142857142856
AMD,2024-08-19,0.6100662570704205,1.9871298638370234,0.963106922419497,5,G,1.0,0.4550384193970537,1.6666666666666667
AMZN,2024-04-30,0.3109934317542655,-0.13996524208786304,-0.13905836225275922,2,G,0.4,-0.08820500702352538,2.6666666666666665
AMZN,2024-08-01,0.39250679775292063,0.44618828108618797,0.4187607359752501,4,G,0.4,-0.15829342945775848,7.0
AMZN,2024-02-01,0.24816596100159538,-0.6390896891427258,-0.564279413931116,2,G,0.4,-0.023261244149533906,2.3333333333333335
AMZN,2025-02-06,0.3374159230955446,0.07181109958449654,0.07168791436934015,3,G,0.3,-0.19126972731700653,1.6666666666666667
AMZN,2024-10-31,0.21250743326871946,-0.9028959661696245,-0.7177050434663046,2,G,0.3,0.009020105173138528,1.4
AVGO,2024-07-12,0.4657880139430282,1.120033360320529,0.807580520067858,5,G,0.4,-0.4702167242066482,1.7
AVGO,2025-07-11,0.3875594446382212,0.45572883104891637,0.42659670573683706,4,G,0.4,-0.08463449973303323,8.0
AVGO,2025-01-10,0.3918619374340473,0.47411112117666365,0.4415150322009284,4,G,0.4,0.4181206513007438,1.4
AVGO,2025-09-29,0.31308502171017427,-0.20270952191499853,-0.19997788904463107,2,G,0.4,-0.0053883523854566144,4.5
AVGO,2024-10-02,0.5901638989465818,1.9569622680797327,0.9608573546610354,5,G,0.4,-0.9534661781058925,1.0
BA,2024-07-01,0.4501135732967994,0.78562743197326,0.6559248509352044,5,G,0.4,-0.590599643191694,1.5
BA,2025-06-04,0.3188007752920825,-0.2831224862552278,-0.2757925429249536,2,G,0.3,-0.1281147997090822,3.0
BA,2025-04-24,0.21521825181113624,-1.0924679603406617,-0.7977771434064582,1,S,0.6,0.0,0.5
BA,2025-07-03,0.35588297069672903,0.07780547208641923,0.0776488478959739,3,G,0.3,-0.3212448331381133,2.5
BA,2024-05-17,0.22871549923428572,-0.9641655972289777,-0.7461291865408277,2,G,0.3,-0.028377699292127117,3.3333333333333335
BKNG,2025-05-09,0.5777197480963714,1.8277804120925778,0.9496084740673663,5,G,0.5,-0.7593101714525258,2.0
BKNG,2024-11-21,0.18521825181113624,-1.2710318102268336,-0.8540770579918868,1,G,0.5,0.0,0.5
BKNG,2025-11-07,0.2642813115470216,-0.6248878982380843,-0.5545220961170884,2,G,0.5,-0.011428365793437114,2.0
CEG,2025-01-13,0.3002059991327962,-0.3289389348411037,-0.3175670406469684,2,G,0.8,0.0,1.0
COIN,2025-05-08,0.45772472358283867,0.9286334992529003,0.72995615265703,5,G,0.6,-0.3086887725033695,3.25
COIN,2025-08-08,0.27280277315784773,-0.5742220885288889,-0.5184532496165766,2,G,0.3,-0.1470177341062166,2.0
COIN,2024-03-18,0.19071014763928223,-1.2042233706231256,-0.8349382922308284,1,G,0.3,-0.1280154538560792,0.5
CTAS,2025-05-02,0.4219819360376446,0.6810678357556836,0.5922131621090172,4,G,0.4,-0.4182105587158446,3.0
GILD,2024-02-12,0.3,-0.3246366833379385,-0.31369339767619026,2,S,1.0,0.0,0.0
GILD,2024-11-20,0.09,-1.9380442249448537,-0.9593786322385437,1,G,0.3,0.0,0.0
HON,2025-06-24,0.222610612351172,-0.8512282404085225,-0.6917105863552264,2,G,0.3,0.09684224082762544,1.5
INTC,2024-06-04,0.28021407230599726,-0.38067044626774516,-0.3632895705019647,2,G,0.3,-0.05462160716841228,4.0
KDP,2025-10-30,0.18,-1.1596906538704932,-0.8209390418273619,1,G,0.6,0.0,0.0
KDP,2025-02-28,0.09,-1.7830945913124694,-0.9450270107205658,1,G,0.3,0.0,0.0
KDP,2025-03-31,0.6825359028067437,2.5785387584512316,0.9885489325217289,5,G,0.5,-0.9461404691345642,4.0
KDP,2025-08-25,0.24020599913279622,-0.611078944401274,-0.5448861496265502,2,G,0.6,0.0,1.0
